,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2024-01-02,32.65896987915039,32.437381744384766,0.0068080310219979,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
1,2024-01-03,32.30250930786133,32.65896987915039,-0.0109746315353132,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
2,2024-01-04,32.562625885009766,32.30250930786133,0.008020270695533,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
3,2024-01-05,33.16956329345703,32.562625885009766,0.018467501707524,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
4,2024-01-08,32.909446716308594,33.16956329345703,-0.0078729363735477,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
5,2024-01-09,32.39885330200195,32.909446716308594,-0.0156367205320298,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
6,2024-01-10,32.36994171142578,32.39885330200195,-0.0008927630193043,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
7,2024-01-11,31.93642807006836,32.36994171142578,-0.0134829632022986,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
8,2024-01-12,31.599233627319336,31.93642807006836,-0.0106144360380985,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
9,2024-01-16,30.944129943847656,31.599233627319336,-0.0209495494137921,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
10,2024-01-17,30.635847091674805,30.944129943847656,-0.0100125216822413,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
11,2024-01-18,30.56840705871582,30.635847091674805,-0.002203770348623,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
12,2024-01-19,31.040470123291016,30.56840705871582,0.0153248143708071,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
13,2024-01-22,31.35838508605957,31.040470123291016,0.0101898572510958,BAC,2024-01,0.0521999999999999,516788500000.0,340102680000,7738400000
