,Unnamed: 0,Year,GNP,GNP_PriceIndexLevel,date,symbol,retainedEarnings,totalAssets,totalLiabilities,totalCurrentAssets,totalCurrentLiabilities,shortTermDebt,longTermDebt,workingCapital,Strike_Price,revenue,ebit,depreciationAndAmortization,interestExpense,interestIncome,netIncome,deferredIncomeTax,fundFromOperations,marketCapitalization,stockPrice,numberOfShares,Altman_A,Altman_B,Altman_C,Altman_D,Altman_E,Ohlson_A,Ohlson_B,Ohlson_C,Ohlson_D,Ohlson_E,Ohlson_F,Ohlson_G,netIncome_Lag1,netIncome_Lag2,netLoss_2Years,Ohlson_H,netIncome_Lag1_Sum,netIncome_Lag1_Diff,Ohlson_I
45,45,2022,26156.16425,2762.7858849103472,2022-12-31,JPM,296456000000,3665743000000,3373411000000,889122000000,3053636000000,246640000000,295865000000,-2164514000000,394572500000.0,153824000000,46166000000,7051000000,26097000000,92807000000,37676000000,-2738000000,41989000000,397713780000,134.1,2965800000,-0.5904707449485684,0.08087200875784255,0.012593899790574516,0.11789662747883374,0.04196257075305061,1326828481.3605647,0.9202530019153007,-0.5904707449485684,3.434439818157688,0,0.010277861814098807,0.01244704543857834,48334000000.0,29131000000.0,77465000000.0,0,86010000000.0,-10658000000.0,-0.12391582374142542
65,65,2023,27820.7545,2938.6108416166567,2023-12-31,JPM,332901000000,3875393000000,3547515000000,923999000000,3119470000000,261247000000,391825000000,-2195471000000,457159500000.0,236273000000,61612000000,7512000000,81321000000,170588000000,49552000000,-4534000000,52530000000,499855860000,170.1,2938600000,-0.5665157056329513,0.08590122343721011,0.015898258576614036,0.14090309977547663,0.06096749413543349,1318784013.5606315,0.9153949031749812,-0.5665157056329513,3.3760534372872697,0,0.012786316123293819,0.014807548382459271,37676000000.0,48334000000.0,86010000000.0,0,87228000000.0,11876000000.0,0.13614894299995414
85,85,2024,29243.108,3088.849161562702,2024-12-31,JPM,376166000000,4002814000000,3658056000000,967230000000,3226497000000,361310000000,389836000000,-2259267000000,556228000000.0,270789000000,75081000000,7938000000,101350000000,193933000000,58471000000,2004000000,68413000000,688902569000,239.71,2873900000,-0.5644196807545891,0.09397538831432088,0.018757054412221003,0.1883247738689621,0.06764965846526969,1295891702.9068868,0.9138710916869982,-0.5644196807545891,3.3358115443069383,0,0.014607473642292647,0.018702010029370792,49552000000.0,37676000000.0,87228000000.0,0,108023000000.0,8919000000.0,0.08256574988659822
46,46,2022,26156.16425,2762.7858849103472,2022-09-30,V,16116000000,85501000000,49920000000,30205000000,20853000000,2250000000,20200000000,9352000000,12350000000.0,29310000000,18674000000,861000000,538000000,0,14957000000,-336000000,15482000000,379460400000,177.65,2136000000,0.10937883767441317,0.18848902352019276,0.2184068022596227,7.601370192307693,0.3428030081519514,30947385.559983242,0.5838528204348488,0.10937883767441317,0.6903823870220163,0,0.1749336265072923,0.31013621794871793,12311000000.0,10866000000.0,23177000000.0,0,27268000000.0,2646000000.0,0.09703681971541733
66,66,2023,27820.7545,2938.6108416166567,2023-09-30,V,18040000000,90499000000,51766000000,33532000000,23098000000,0,20463000000,10434000000,10231500000.0,32653000000,21681000000,943000000,644000000,0,17273000000,-483000000,17733000000,479570850000,230.01,2085000000,0.11529409164742152,0.1993392192178919,0.23957170797467375,9.264205269868253,0.3608106166918971,30796524.2346321,0.5720063205118289,0.11529409164742152,0.6888345461052129,0,0.19086398744737512,0.3425607541629641,14957000000.0,12311000000.0,27268000000.0,0,32230000000.0,2316000000.0,0.07185851690971144
86,86,2024,29243.108,3088.849161562702,2024-09-30,V,17289000000,94511000000,55374000000,34033000000,26517000000,0,20836000000,7516000000,10418000000.0,35926000000,24557000000,1034000000,641000000,0,19743000000,-100000000,20677000000,557873550000,274.95,2029000000,0.07952513464041222,0.1829310873866534,0.25983218884574283,10.074647849171091,0.3801250648072711,30597479.856279306,0.5859000539619726,0.07952513464041222,0.7791555255193489,0,0.2088963189470009,0.3734062917614765,17273000000.0,14957000000.0,32230000000.0,0,37016000000.0,2470000000.0,0.06672790144802247
47,47,2022,26156.16425,2762.7858849103472,2022-12-31,BAC,207003000000,3051375000000,2778178000000,539385000000,2455840000000,222567000000,275982000000,-1916455000000,360558000000.0,115053000000,30969000000,1978000000,20103000000,72565000000,27528000000,739000000,30245000000,268725743999,33.12,8113700000,-0.6280627585924379,0.06783925279587072,0.010149195035025194,0.09672733136573683,0.03770529679242964,1104455838.0965586,0.9104675760927451,-0.6280627585924379,4.553037255392716,0,0.009021506697800172,0.010886631454140087,31978000000.0,17894000000.0,49872000000.0,0,59506000000.0,-4450000000.0,-0.07478237488656606
67,67,2023,27820.7545,2938.6108416166567,2023-12-31,BAC,224672000000,3180151000000,2888505000000,704765000000,2335342000000,315985000000,302204000000,-1630577000000,467087000000.0,171912000000,28342000000,2057000000,73331000000,130262000000,26515000000,-2011000000,26561000000,270322962000,33.67,8028600000,-0.5127357160084537,0.0706482176475268,0.008912155429097549,0.09358576910893351,0.05405781046245917,1082195353.9960608,0.9082917760823307,-0.5127357160084537,3.313646392769221,0,0.008337654406976272,0.009195414236776464,27528000000.0,31978000000.0,59506000000.0,0,54043000000.0,-1013000000.0,-0.018744333216142703
87,87,2024,29243.108,3088.849161562702,2024-12-31,BAC,242349000000,3261519000000,2965960000000,740837000000,2433159000000,375149000000,283279000000,-1692322000000,516788500000.0,192434000000,29254000000,2189000000,90547000000,146607000000,27132000000,-1734000000,27587000000,340102680000,43.95,7738400000,-0.5188754074405209,0.07430556130441061,0.008969440312933943,0.11466866714318467,0.059001342625935954,1055901026.3712395,0.9093799545549175,-0.5188754074405209,3.284337850296354,0,0.008318823223166873,0.009301204331818365,26515000000.0,27528000000.0,54043000000.0,0,53647000000.0,617000000.0,0.011501109102093314
48,48,2022,26156.16425,2762.7858849103472,2022-12-31,AMD,-131000000,67580000000,12830000000,15019000000,6369000000,93000000,2467000000,8650000000,1326500000.0,23601000000,1272000000,4262000000,88000000,65000000,1320000000,-1505000000,4077000000,101105970000,64.77,1561000000,0.12799644865344775,-0.0019384433264279372,0.01882213672684226,7.880434138737335,0.3492305415803492,24460817.021364283,0.18984906777153004,0.12799644865344775,0.42406285371862307,0,0.01953240603728914,0.31777084957131724,3162000000.0,2490000000.0,5652000000.0,0,4482000000.0,-1842000000.0,-0.4109772423025435
