,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2023-09-05,526.5557250976562,526.0914916992188,0.0008820304108095,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
1,2023-09-06,528.4501953125,526.5557250976562,0.003591396435703,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
2,2023-09-07,530.3157958984375,528.4501953125,0.0035241073706877,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
3,2023-09-08,532.8001098632812,530.3157958984375,0.0046736550049924,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
4,2023-09-11,540.1369018554688,532.8001098632812,0.0136763039556214,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
5,2023-09-12,540.1465454101562,540.1369018554688,1.785374886958773e-05,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
6,2023-09-13,541.0841674804688,540.1465454101562,0.0017343612129498,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
7,2023-09-14,545.927001953125,541.0841674804688,0.0089104264067919,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
8,2023-09-15,537.7976684570312,545.927001953125,-0.015002862259515,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
9,2023-09-18,543.9453735351562,537.7976684570312,0.0113664170274923,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
10,2023-09-19,545.52099609375,543.9453735351562,0.0028924686452709,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
11,2023-09-20,545.0183715820312,545.52099609375,-0.0009217907435654,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
12,2023-09-21,536.560302734375,545.0183715820312,-0.0156405474151412,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
13,2023-09-22,539.953125,536.560302734375,0.0063033742301599,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
14,2023-09-25,539.9822998046875,539.953125,5.4030646693210426e-05,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
15,2023-09-26,534.5110473632812,539.9822998046875,-0.0101839620365261,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
16,2023-09-27,544.7283935546875,534.5110473632812,0.0189349111451753,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
17,2023-09-28,549.658203125,544.7283935546875,0.0090093261932103,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
18,2023-09-29,546.1107177734375,549.658203125,-0.0064749011908069,COST,2023-09,0.0532,3000000000.0,396139975320,443914000
19,2023-10-02,552.2488403320312,546.1107177734375,0.0111770074086024,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
20,2023-10-03,546.1879272460938,552.2488403320312,-0.0110356367804562,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
21,2023-10-04,552.7225341796875,546.1879272460938,0.0118930234740865,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
22,2023-10-05,550.5185546875,552.7225341796875,-0.003995468345789,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
23,2023-10-06,538.9285888671875,550.5185546875,-0.0212775868045079,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
24,2023-10-09,540.320556640625,538.9285888671875,0.0025795128975812,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
25,2023-10-10,543.33642578125,540.320556640625,0.0055661098962265,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
26,2023-10-11,546.6519775390625,543.33642578125,0.0060836646953128,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
27,2023-10-12,544.9700317382812,546.6519775390625,-0.003081555918559,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
28,2023-10-13,547.9279174804688,544.9700317382812,0.0054129353366197,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
29,2023-10-16,553.1478271484375,547.9279174804688,0.0094815434797316,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
30,2023-10-17,555.177734375,553.1478271484375,0.0036630202654508,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
31,2023-10-18,555.4677734375,555.177734375,0.0005222891859787,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
32,2023-10-19,546.7583618164062,555.4677734375,-0.0158036406687699,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
33,2023-10-20,534.4819946289062,546.7583618164062,-0.022708909598338,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
34,2023-10-23,533.8634033203125,534.4819946289062,-0.0011580363034487,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
35,2023-10-24,533.428466796875,533.8634033203125,-0.0008150283154804,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
36,2023-10-25,531.64013671875,533.428466796875,-0.0033581531796798,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
37,2023-10-26,529.3298950195312,531.64013671875,-0.004354968154418,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
38,2023-10-27,524.9124145507812,529.3298950195312,-0.0083804383158698,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
39,2023-10-30,536.3670043945312,524.9124145507812,0.021587217208396,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
40,2023-10-31,534.0084228515625,536.3670043945312,-0.0044070244892924,COST,2023-10,0.0533999999999999,3000000000.0,396139975320,443914000
41,2023-11-01,538.2229614257812,534.0084228515625,0.0078612887867704,COST,2023-11,0.0527,3000000000.0,396139975320,443914000
42,2023-11-02,538.4069213867188,538.2229614257812,0.0003417329681528,COST,2023-11,0.0527,3000000000.0,396139975320,443914000
43,2023-11-03,543.1812133789062,538.4069213867188,0.0088283568350392,COST,2023-11,0.0527,3000000000.0,396139975320,443914000
