,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2021-12-31,143.98846435546875,145.3289031982422,-0.0092662839108651,GOOGL,2021-12,0.0006,6428500000.0,1152548490000,13063000000
1,2022-01-03,144.1271209716797,143.98846435546875,0.0009625069519097,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
2,2022-01-04,143.5386505126953,144.1271209716797,-0.004091354190828,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
3,2022-01-05,136.95362854003906,143.5386505126953,-0.0469619497639877,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
4,2022-01-06,136.92630004882812,136.95362854003906,-0.0001995654916549,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
5,2022-01-07,136.20016479492188,136.92630004882812,-0.0053172215672813,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
6,2022-01-10,137.8428192138672,136.20016479492188,0.0119884411471919,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
7,2022-01-11,138.90293884277344,137.8428192138672,0.0076613627018986,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
8,2022-01-12,140.58734130859375,138.90293884277344,0.0120535344444726,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
9,2022-01-13,137.76080322265625,140.58734130859375,-0.0203100706996571,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
10,2022-01-14,138.6489715576172,137.76080322265625,0.0064264832343286,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
11,2022-01-18,135.18724060058594,138.6489715576172,-0.0252845695916339,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
12,2022-01-19,134.3109893798828,135.18724060058594,-0.006502857615148,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
13,2022-01-20,132.51275634765625,134.3109893798828,-0.0134790121700284,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
14,2022-01-21,129.5744171142578,132.51275634765625,-0.0224235494914099,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
15,2022-01-24,130.0242156982422,129.5744171142578,0.0034653420877599,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
16,2022-01-25,126.17826080322266,130.0242156982422,-0.030025032321187,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
17,2022-01-26,128.4625701904297,126.17826080322266,0.0179419039502198,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
18,2022-01-27,128.2359161376953,128.4625701904297,-0.0017659170093092,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
19,2022-01-28,132.5560302734375,128.2359161376953,0.033133763699959,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
20,2022-01-31,134.4968719482422,132.5560302734375,0.0145355158508868,GOOGL,2022-01,0.0015,6428500000.0,1152548490000,13063000000
