,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2022-06-30,250.47637939453125,253.821533203125,-0.013266772632459,MSFT,2022-06,0.0149,26242000000.0,2535660840000,7446000000
1,2022-07-01,253.1583404541016,250.47637939453125,0.0106505223165539,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
2,2022-07-05,256.3474426269531,253.1583404541016,0.0125185775193581,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
3,2022-07-06,259.62432861328125,256.3474426269531,0.0127019741258521,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
4,2022-07-07,261.7601928710937,259.62432861328125,0.008193094031743,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
5,2022-07-08,261.0385131835937,261.7601928710937,-0.0027608337111053,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
6,2022-07-11,257.9664611816406,261.0385131835937,-0.0118383754756887,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
7,2022-07-12,247.3945770263672,257.9664611816406,-0.0418450411944255,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
8,2022-07-13,246.4680633544922,247.3945770263672,-0.0037521151960133,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
9,2022-07-14,247.7944183349609,246.4680633544922,0.0053670194012169,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
10,2022-07-15,250.3690948486328,247.7944183349609,0.0103367644179582,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
11,2022-07-18,247.960205078125,250.3690948486328,-0.0096679385855221,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
12,2022-07-19,253.10958862304688,247.960205078125,0.0205542816604126,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
13,2022-07-20,255.78179931640625,253.10958862304688,0.0105021830504143,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
14,2022-07-21,258.2882080078125,255.78179931640625,0.0097513121421803,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
15,2022-07-22,253.9190216064453,258.2882080078125,-0.0170606431337503,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
16,2022-07-25,252.4268951416016,253.9190216064453,-0.0058937210104369,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
17,2022-07-26,245.6683349609375,252.4268951416016,-0.0271392882195783,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
18,2022-07-27,262.0917663574219,245.6683349609375,0.0647123013254018,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
19,2022-07-28,269.572021484375,262.0917663574219,0.0281409000665672,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
20,2022-07-29,273.7948608398437,269.572021484375,0.0155435471427672,MSFT,2022-07,0.0223,26242000000.0,2535660840000,7446000000
21,2022-08-01,271.13238525390625,273.7948608398437,-0.0097719348474378,MSFT,2022-08,0.0263,26242000000.0,2535660840000,7446000000
22,2022-08-02,268.02130126953125,271.13238525390625,-0.0115407483699384,MSFT,2022-08,0.0263,26242000000.0,2535660840000,7446000000
23,2022-08-03,275.48211669921875,268.02130126953125,0.0274562546222388,MSFT,2022-08,0.0263,26242000000.0,2535660840000,7446000000
24,2022-08-04,276.6329345703125,275.48211669921875,0.0041687671259189,MSFT,2022-08,0.0263,26242000000.0,2535660840000,7446000000
25,2022-08-05,275.9112243652344,276.6329345703125,-0.0026123183236374,MSFT,2022-08,0.0263,26242000000.0,2535660840000,7446000000
26,2022-08-08,273.38531494140625,275.9112243652344,-0.0091969530020098,MSFT,2022-08,0.0263,26242000000.0,2535660840000,7446000000
27,2022-08-09,275.3162841796875,273.38531494140625,0.0070383509462786,MSFT,2022-08,0.0263,26242000000.0,2535660840000,7446000000
