,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2023-01-03,126.1023178100586,125.1504135131836,0.0075773015191699,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
1,2023-01-04,127.2782745361328,126.1023178100586,0.0092822039642019,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
2,2023-01-05,127.25005340576172,127.2782745361328,-0.0002217523740083,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
3,2023-01-06,129.68505859375,127.25005340576172,0.0189548098244261,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
4,2023-01-09,129.14915466308594,129.68505859375,-0.0041409108146031,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
5,2023-01-10,130.30552673339844,129.14915466308594,0.0089139245513,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
6,2023-01-11,131.27392578125,130.30552673339844,0.0074042778419815,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
7,2023-01-12,131.1422882080078,131.27392578125,-0.0010032732526908,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
8,2023-01-13,134.45162963867188,131.1422882080078,0.0249216001473345,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
9,2023-01-17,132.37387084960938,134.45162963867188,-0.015574229471597,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
10,2023-01-18,128.3970184326172,132.37387084960938,-0.0305031038918614,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
11,2023-01-19,126.6859359741211,128.3970184326172,-0.0134160914626775,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
12,2023-01-20,126.99617767333984,126.6859359741211,0.0024459103515488,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
13,2023-01-23,129.05514526367188,126.99617767333984,0.0160828067357629,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
14,2023-01-24,130.16453552246094,129.05514526367188,0.0085595123698124,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
15,2023-01-25,130.79443359375,130.16453552246094,0.0048275734439084,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
16,2023-01-26,131.6029510498047,130.79443359375,0.0061625615355739,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
17,2023-01-27,131.92262268066406,131.6029510498047,0.0024261158652197,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
18,2023-01-30,130.80384826660156,131.92262268066406,-0.0085166993068346,JPM,2023-01,0.0454,457159500000.0,499855860000,2938600000
